symbol,max_pae,mean_plddt,max_plddt,min_plddt,mean_ptm,max_ptm,min_ptm,mean_iptm,max_iptm,min_iptm,min_sa_i_1,min_sa_i_2,max_sa_i_1,max_sa_i_2,avg_sa_i_1,avg_sa_i_2,min_sa_ni_1,min_sa_ni_2,max_sa_ni_1,max_sa_ni_2,avg_sa_ni_1,avg_sa_ni_2,min_fi_i_1,min_fi_i_2,max_fi_i_1,max_fi_i_2,avg_fi_i_1,avg_fi_i_2,min_fi_ni_1,min_fi_ni_2,max_fi_ni_1,max_fi_ni_2,avg_fi_ni_1,avg_fi_ni_2
HRAS_NHLH1,31.703125,71.76,72.6203,70.7933,0.57,0.59,0.56,0.18,0.23,0.12,-38.1441,-48.8521,-35.528,-26.1563,-37.0,-36.3278,-1.3229,-1.3813,0.1448,1.7961,-0.6563,0.0693,-0.2458,-0.1264,0.1205,0.0212,-0.1165,-0.0632,-0.0234,-0.0498,0.022,0.0009,0.0026,-0.0246
CDKN2A_RPL11,31.671875,74.81,77.7712,71.0449,0.52,0.54,0.51,0.15,0.2,0.1,-81.333,-53.264,-37.174,-29.3216,-52.4666,-39.1841,-4.0846,-1.6751,-3.4222,0.2036,-3.7451,-0.8279,-0.0364,-0.0683,0.0778,-0.0075,0.0186,-0.0366,-0.0622,-0.0513,-0.0122,-0.0207,-0.0379,-0.0353
RAC1_UQCC2,31.53125,69.59,70.8389,67.3817,0.61,0.62,0.6,0.18,0.2,0.15,-50.2052,-43.7925,-33.2505,-28.2619,-41.9146,-37.5737,-0.6696,-26.0317,0.0074,-6.4388,-0.4777,-15.416,-0.1105,-0.2228,-0.0007,0.1261,-0.0312,0.0142,-0.0212,-0.0697,0.0127,0.0285,-0.0077,-0.0253
BTG1_MRPL54,31.734375,48.86,50.2198,47.5864,0.48,0.51,0.47,0.18,0.21,0.16,-27.5961,-60.4317,-18.5817,-37.8295,-23.0461,-49.9078,-0.5102,-10.4006,6.0258,-0.8042,2.3189,-5.3106,-0.0949,-0.1752,0.1339,0.1082,-0.0253,-0.0555,-0.0284,-0.229,0.0827,-0.1053,0.011,-0.1492
HRAS_PDE6D,31.203125,83.38,85.4123,81.7938,0.55,0.57,0.52,0.15,0.21,0.1,-83.1672,-40.2857,-42.4689,-28.4067,-55.8815,-33.931,-0.7255,-1.6201,0.3204,0.0398,-0.1361,-0.8956,-0.0615,-0.0408,0.2498,0.0996,0.0821,0.0239,-0.0444,-0.0178,-0.0049,-0.0093,-0.0302,-0.0128
RAC1_FAM174C,31.703125,66.16,67.2527,65.3351,0.6,0.61,0.59,0.17,0.23,0.13,-31.2266,-73.9307,-24.8294,-56.51,-28.2826,-60.5748,-1.7994,-2.636,-0.3218,4.7347,-0.9174,0.6396,0.0236,-0.174,0.073,0.1093,0.0402,-0.049,-0.0358,-0.0372,0.0041,0.1146,-0.0218,0.0629
RAC1_RAB5IF,31.609375,72.08,74.856,69.5959,0.58,0.6,0.56,0.12,0.17,0.07,-37.8604,-65.8395,-26.0757,-36.6473,-32.7641,-55.5254,-0.7515,-10.6507,0.1892,-1.3788,-0.3818,-5.2423,-0.1001,0.0469,0.0152,0.1943,-0.0332,0.1306,-0.0448,0.0446,-0.0035,0.1291,-0.0144,0.088
CDKN2A_COMMD1,31.65625,61.1,63.7757,58.6364,0.46,0.57,0.43,0.22,0.52,0.14,-51.5982,-53.3522,-36.1387,-36.9056,-43.7994,-44.5791,-4.6433,-8.4205,-3.5797,-1.225,-4.0423,-4.421,-0.0358,-0.1589,0.1632,0.0674,0.0509,-0.0217,-0.0891,-0.0794,-0.0648,0.0138,-0.0789,-0.0362
CDKN2A_ISOC2,31.671875,77.24,78.3365,76.014,0.55,0.56,0.54,0.18,0.19,0.17,-45.4507,-50.2799,-31.1776,-30.5689,-39.0624,-41.4932,-4.3752,-3.912,-3.242,-2.0613,-3.7708,-2.7871,-0.0547,-0.1223,0.0676,-0.0396,-0.0095,-0.0922,-0.0804,0.0255,-0.0202,0.0426,-0.0527,0.0313
BCL2_PLGLB1,31.6875,56.76,58.4534,54.6799,0.52,0.53,0.51,0.18,0.22,0.13,-20.5539,-62.2466,-12.7765,-49.2202,-17.5062,-55.1466,1.2048,-6.997,6.4254,6.5876,3.5246,-1.6073,0.0599,-0.215,0.0981,-0.0133,0.0838,-0.131,-0.086,-0.0503,-0.0498,0.0263,-0.0721,-0.0181
KRAS_CALM1,31.140625,82.11,82.6866,81.5583,0.55,0.56,0.54,0.33,0.46,0.28,-93.8199,-42.6465,-66.318,-28.8234,-79.107,-38.1397,-2.7142,-6.2571,-0.3184,-2.1537,-1.9364,-4.3412,-0.3574,-0.0544,-0.0017,0.0963,-0.1527,0.0247,-0.0168,-0.0842,0.0033,0.003,-0.0083,-0.0404
BCL2_HRK,31.703125,65.07,65.9677,63.2078,0.59,0.6,0.58,0.62,0.62,0.61,-4.492,-58.6391,0.7437,-48.9627,-1.976,-54.2907,3.2355,2.096,6.3555,6.4209,5.3474,4.8184,-0.1058,-0.203,0.0097,-0.0075,-0.0552,-0.0873,-0.0195,-0.0805,0.0582,0.1057,0.0094,0.0009
FHIT_RBM18,31.59375,68.7,70.5923,66.1069,0.6,0.64,0.47,0.6,0.77,0.14,-41.5616,-46.246,-35.4322,-39.9004,-38.4103,-42.626,-1.7544,-3.8086,1.0306,4.947,-0.6444,2.0649,-0.0425,-0.3503,0.3154,0.2142,0.0951,0.0167,-0.0168,-0.0303,0.0044,0.0372,-0.0057,0.0087
LMO2_NDUFA7,31.734375,42.14,45.2604,39.7702,0.31,0.37,0.28,0.16,0.18,0.13,-33.1708,-93.6671,-26.4823,-58.7283,-30.4267,-77.7707,-1.6395,-7.7607,1.1238,20.3527,-0.3567,5.8694,-0.1489,-0.1693,0.0638,0.135,-0.0202,-0.0424,-0.0505,-0.2071,0.0127,0.0282,-0.015,-0.0448
HMGA2_CD79B,31.734375,50.59,51.7537,48.7424,0.36,0.36,0.35,0.06,0.07,0.06,-49.6142,-41.2644,0.0,0.0,-20.3786,-21.2211,-0.2261,-3.4366,4.3539,-1.5981,2.8391,-2.4947,0.0,-0.0105,0.5984,0.0443,0.2532,0.0117,-0.0553,0.0386,0.1621,0.12,0.0264,0.0643
U2AF1_LSM3,31.703125,65.88,66.7892,64.7363,0.52,0.53,0.52,0.12,0.14,0.11,-54.2571,-43.7172,-33.8887,-28.7157,-43.8622,-35.164,-3.2469,-6.4336,0.2217,1.5934,-1.6322,-1.1432,-0.0578,-0.0518,0.1881,0.0501,0.0866,-0.0082,-0.0532,-0.0683,-0.0045,0.0048,-0.0358,-0.0352
DDIT3_ATF3,31.703125,52.66,54.8492,50.1777,0.4,0.41,0.39,0.42,0.44,0.41,-56.1374,-45.1761,-47.2973,-30.4202,-51.5472,-38.4494,-1.4974,-5.8284,2.3698,3.2431,0.2505,-0.7946,-0.1348,-0.1282,0.0009,-0.0374,-0.0951,-0.0833,-0.1978,-0.124,-0.0707,-0.0413,-0.1331,-0.0914
CDKN2A_VHL,31.703125,69.01,71.489,65.578,0.45,0.47,0.42,0.24,0.35,0.13,-66.3954,-38.0258,-47.5496,-32.8981,-55.2399,-35.1451,-5.7772,-2.7603,-3.645,-1.2909,-4.9717,-2.3514,-0.1048,-0.0672,-0.0049,-0.018,-0.0659,-0.0446,-0.0702,0.0033,-0.0118,0.0487,-0.0315,0.0214
BCL10_SNRNP25,31.703125,58.14,60.02,55.9038,0.35,0.37,0.34,0.12,0.17,0.1,-42.3603,-68.3944,-26.6923,-35.9976,-34.562,-55.9884,-4.3393,-12.9285,-0.3615,-2.9217,-2.1027,-8.2168,-0.1013,-0.1882,0.0292,0.1353,-0.0088,-0.0033,-0.1071,-0.0725,-0.0195,0.0158,-0.0628,-0.0228
LMO2_SH2D1A,31.703125,53.94,56.1469,52.1779,0.36,0.37,0.34,0.11,0.13,0.1,-40.7946,-55.2117,-35.6791,-36.7951,-38.4752,-46.6122,-11.7269,-11.2493,0.3741,0.2976,-7.0246,-3.906,0.0657,-0.1162,0.1642,0.0201,0.1157,-0.0197,-0.0368,-0.0913,0.0164,0.0097,-0.0099,-0.044
LMO2_BEX2,31.71875,38.71,42.1458,37.6431,0.3,0.34,0.28,0.19,0.28,0.16,-39.1098,-87.2775,-30.6737,-47.7723,-34.4436,-71.4753,-6.4767,-7.7332,3.0633,17.833,-1.8802,5.6326,-0.0983,-0.1828,0.0403,0.3145,-0.0463,0.0453,-0.0201,-0.0551,0.0303,0.1514,0.0122,0.0609
SSX2_TMEM31,31.71875,34.49,35.3899,33.2263,0.27,0.28,0.25,0.16,0.18,0.14,-36.6092,-67.2697,-17.6426,-43.392,-29.4274,-57.741,0.2128,-22.706,3.5197,-8.5774,1.9538,-16.734,-0.2578,-0.1165,-0.1168,0.1626,-0.163,0.0262,-0.1902,-0.0483,-0.0681,0.0231,-0.1166,-0.0068
CDKN2A_BCL2L1,31.625,64.62,68.4377,62.3765,0.5,0.61,0.44,0.26,0.5,0.15,-49.9618,-44.9969,-36.2986,-30.4331,-42.9705,-38.1429,-4.0031,-2.7412,-3.6829,0.279,-3.851,-1.2619,-0.0519,-0.0215,0.1565,0.0747,0.0219,0.0373,-0.0682,-0.106,-0.0135,0.0013,-0.0438,-0.0419
HRAS_SPRYD7,31.671875,83.7,85.3693,81.3416,0.66,0.76,0.49,0.47,0.67,0.13,-47.769,-42.684,-39.1347,-36.7302,-42.5709,-39.0805,-1.3681,-2.5494,0.0191,-1.6063,-0.8547,-2.0647,-0.0518,-0.0439,0.1754,0.014,0.026,-0.0054,-0.0484,0.0204,0.0236,0.0395,-0.0141,0.0279
MAX_TPD52,31.734375,41.66,43.9817,38.7901,0.3,0.32,0.27,0.12,0.17,0.07,-42.7109,-59.7859,-17.718,-37.0493,-35.0906,-45.599,-0.959,4.5413,1.5204,12.5792,0.5568,8.5476,-0.0847,-0.2988,0.1408,0.7354,0.0001,0.0542,-0.0774,-0.1255,0.0173,-0.0577,-0.032,-0.0963
MAX_MXD3,31.734375,63.91,64.8986,62.8768,0.54,0.56,0.53,0.6,0.6,0.6,-48.1316,-50.0647,-46.9675,-44.996,-47.6316,-48.0727,-1.0861,-3.7402,3.0536,6.1182,0.4548,3.1821,0.0345,-0.0124,0.0444,-0.0028,0.0406,-0.0075,-0.0544,-0.0854,0.0453,0.0305,-0.0123,-0.0125
MAX_MXD4,31.734375,61.0,61.9699,60.3888,0.52,0.52,0.51,0.6,0.61,0.59,-49.9349,-47.2612,-46.287,-43.3254,-48.2386,-45.2099,-0.562,-3.9944,2.1679,4.8107,0.8223,1.1839,0.0325,-0.1763,0.0949,-0.0228,0.0477,-0.0638,-0.0896,-0.0462,0.0059,0.0134,-0.0479,-0.0281
RHOA_HINT3,31.671875,75.99,76.5522,75.295,0.52,0.52,0.51,0.13,0.14,0.11,-44.5113,-52.0057,-27.2852,-35.2918,-35.0228,-44.2957,-0.8089,-3.1305,0.8316,0.1281,-0.3902,-1.175,-0.0063,-0.0596,0.0611,0.07,0.022,-0.0003,-0.0458,0.0141,-0.0038,0.0711,-0.0144,0.042
SOX2_SMIM3,31.71875,37.26,40.1153,35.1627,0.28,0.29,0.27,0.2,0.25,0.14,-30.8987,-63.7818,-23.8369,-40.4875,-28.7577,-54.3579,-0.981,-14.2478,2.1507,-1.1247,0.8864,-4.7426,-0.0242,0.0196,0.0413,0.1779,-0.001,0.1125,0.0077,-0.0582,0.0468,0.1011,0.0248,0.0061
RAC1_CAV1,31.703125,59.38,60.4666,58.1746,0.52,0.53,0.52,0.13,0.14,0.11,-35.7223,-66.2912,-21.3224,-32.3015,-31.6527,-46.3678,-1.2528,-1.0692,0.2103,9.3834,-0.7247,1.8871,-0.1871,-0.0999,-0.0313,0.2348,-0.0866,0.0559,-0.0319,-0.1426,0.0009,0.0002,-0.0117,-0.0666
CCND3_ACBD7,31.59375,77.68,79.3354,75.314,0.65,0.66,0.63,0.2,0.24,0.12,-47.6206,-50.4128,-25.2204,-38.4451,-39.3443,-46.6734,-0.8802,-5.3023,0.2319,-3.5218,-0.4633,-4.3133,-0.0124,-0.1622,0.0987,-0.084,0.055,-0.1121,0.0079,0.0302,0.0391,0.1131,0.0226,0.0742
MAX_MXD1,31.75,60.47,61.9704,59.0925,0.51,0.52,0.5,0.6,0.61,0.59,-46.9276,-46.2551,-42.5181,-42.4623,-44.7687,-44.346,-2.697,-6.5067,2.8165,-0.1028,0.136,-3.2384,0.0144,-0.0784,0.0328,-0.0276,0.0253,-0.0436,-0.0845,-0.1327,0.0368,-0.0316,-0.0272,-0.0773
RAC1_APOBEC3C,31.46875,84.14,85.0035,82.4891,0.52,0.54,0.5,0.14,0.16,0.11,-39.5597,-44.7996,-33.4235,-37.1278,-36.7752,-39.8357,-0.9288,-1.3535,-0.3685,-0.1204,-0.6784,-0.7413,-0.0624,-0.0477,0.0178,0.119,-0.0275,0.0272,-0.0289,-0.0036,0.0098,0.029,-0.0144,0.011
BAX_BCL2L2,31.640625,56.26,62.8439,47.4972,0.41,0.44,0.35,0.11,0.14,0.09,-50.4958,-46.1925,-29.7929,-4.7852,-37.2277,-23.7065,-0.8134,-4.5367,1.6989,-1.5042,0.4681,-3.7962,-0.0951,-0.0548,0.1174,0.1597,-0.0197,0.0674,-0.0349,-0.0382,0.0149,0.0555,-0.0051,-0.0092
CDKN2A_PSME3,31.71875,72.49,73.6957,71.3597,0.54,0.58,0.53,0.18,0.27,0.15,-50.9766,-49.5117,-39.5888,-31.5331,-43.0234,-41.0452,-4.633,1.7245,-2.4277,2.2479,-3.4354,1.9324,-0.0306,-0.1055,0.0525,0.0537,0.0125,-0.0076,-0.0672,-0.0292,-0.0374,0.0317,-0.0514,0.0038
BCL2_PTGES,31.703125,66.89,68.0425,65.1758,0.43,0.46,0.42,0.16,0.22,0.11,-46.3262,-40.8678,-13.9747,-23.5965,-23.0913,-31.5579,3.7464,0.6204,9.5818,2.0613,6.1478,1.243,-0.1293,-0.0623,0.2048,0.0435,0.0514,-0.0151,-0.0725,-0.0376,-0.0026,0.0125,-0.0318,-0.0069
SET_PTMA,31.734375,58.42,59.3489,57.4598,0.51,0.52,0.5,0.1,0.12,0.08,-22.7231,-42.2385,0.0,0.0,-8.004,-15.0463,1.2084,-4.7688,3.1345,5.7956,1.9282,0.4489,-0.0344,-0.7083,0.0262,0.0,-0.0016,-0.2627,-0.0157,0.0435,0.0337,0.0833,0.0132,0.0686
CDKN1B_RHOA,31.703125,57.19,58.4761,56.1061,0.49,0.51,0.49,0.13,0.17,0.1,-57.2334,-52.5148,-41.8858,-27.8949,-48.4667,-36.0258,-4.2229,-1.2293,-1.5403,-0.312,-2.8179,-0.915,-0.0542,-0.0869,0.0603,0.013,0.009,-0.0233,-0.0777,-0.0135,0.0331,0.0156,-0.0195,0.0006
CDX2_CD24,31.734375,35.22,36.2046,32.9848,0.25,0.26,0.24,0.12,0.17,0.07,-61.098,-40.0025,-29.532,-15.3172,-43.358,-30.225,-3.9285,10.3774,-1.1457,21.5426,-2.226,16.4689,-0.6809,-0.1146,-0.016,0.0875,-0.3462,0.0059,-0.023,-0.1022,0.0337,0.1104,0.0111,0.012
RHOH_ARHGDIA,30.875,84.29,86.3526,77.6437,0.79,0.86,0.56,0.71,0.83,0.3,-49.1655,-35.1303,-36.8398,-32.6796,-42.925,-34.0228,-1.9854,-1.5495,0.6675,0.5485,-0.7848,-0.79,-0.011,-0.1917,0.1029,-0.0204,0.043,-0.1288,-0.0082,-0.0479,0.0487,-0.0171,0.026,-0.0307
BCL2_C15orf40,31.6875,59.56,61.8918,57.3675,0.48,0.49,0.47,0.16,0.22,0.12,-35.9413,-56.5207,-16.8124,-41.2532,-24.1869,-46.6497,-0.47,-3.6834,3.461,-1.1298,1.7544,-2.1857,-0.0307,-0.0859,0.1343,0.2802,0.0518,0.0733,-0.0771,0.0668,-0.011,0.1873,-0.0406,0.1266
RAC1_ARHGDIA,30.953125,80.63,86.698,72.1671,0.69,0.85,0.48,0.52,0.8,0.12,-63.335,-41.2547,-39.0549,-25.8035,-52.4176,-32.1067,-2.5624,-1.3525,0.1603,8.106,-1.0993,2.0839,-0.2608,-0.1009,0.1786,-0.0474,-0.0175,-0.0673,-0.0285,-0.0637,0.0219,-0.0042,-0.0005,-0.0345
BAX_RALA,31.625,74.64,77.2619,70.252,0.53,0.65,0.48,0.21,0.46,0.11,-37.9331,-58.067,-28.3872,-30.4941,-33.5554,-42.9488,-2.0198,-1.6853,0.0998,0.8032,-0.8056,-0.6143,-0.05,-0.1282,0.0018,0.0507,-0.0221,-0.0444,-0.0152,-0.0057,0.0241,0.0372,0.0038,0.0166
NRAS_CLDN11,31.6875,77.84,78.5294,76.8596,0.48,0.49,0.47,0.12,0.14,0.1,-48.4887,-38.9181,-33.4783,-25.8012,-40.0182,-34.4242,-1.8191,-2.0678,0.1746,0.5659,-0.7164,-0.7726,-0.1935,-0.1038,0.0307,0.1191,-0.0327,-0.029,-0.0762,-0.046,-0.0372,0.0145,-0.0535,-0.0168
RHOA_ARHGDIA,30.515625,77.83,86.9759,74.0311,0.58,0.85,0.5,0.31,0.81,0.16,-57.2506,-30.5605,-46.8743,-25.4818,-52.6997,-28.1394,-1.8556,-1.8042,-0.1034,2.6538,-0.7811,-0.0879,-0.2619,-0.1652,0.0553,0.0,-0.0801,-0.0568,-0.0183,-0.0435,0.0176,0.025,0.0019,-0.0148
CCND3_PAGE5,31.6875,64.88,65.7284,64.2923,0.64,0.65,0.64,0.2,0.23,0.17,-37.6247,-53.57,-24.7818,-43.3706,-31.0881,-49.105,-1.6211,-3.9363,-0.5771,6.4653,-1.3464,1.7237,-0.0068,-0.1112,0.0388,0.1535,0.0183,0.0197,0.0269,-0.16,0.049,-0.0713,0.0358,-0.1181
BAX_BAK1,31.671875,57.23,68.0307,49.8251,0.43,0.59,0.36,0.22,0.61,0.1,-35.3592,-47.7247,-3.8769,-9.3524,-25.8536,-37.1342,-2.0118,-0.6457,1.0911,6.8314,-0.3025,2.9827,-0.0626,-0.0756,0.0586,0.1346,0.01,0.021,-0.0296,0.0273,0.0896,0.0839,0.0275,0.0608
BTG1_KLRC2,31.734375,58.79,61.3706,56.5128,0.46,0.55,0.39,0.27,0.5,0.1,-38.4566,-50.8745,-16.972,-39.1017,-28.6556,-46.5184,-4.8493,-1.3641,-1.1971,3.5919,-2.6129,1.0536,-0.1075,-0.167,0.1791,0.0354,-0.0178,-0.08,-0.0343,-0.0129,0.0079,0.0224,-0.0132,0.0048
BCL2_BIK,31.703125,56.48,57.4647,55.1638,0.53,0.55,0.52,0.66,0.67,0.65,-18.1381,-65.4384,-6.1429,-55.2901,-12.8715,-59.336,1.9506,-12.402,5.9386,1.8437,4.168,-4.8971,-0.0156,-0.0167,0.2098,0.1746,0.0888,0.0689,-0.0675,0.0147,-0.0077,0.1001,-0.0293,0.047
CDKN1B_VHL,31.734375,52.45,56.6097,48.7651,0.44,0.49,0.41,0.21,0.49,0.12,-55.5635,-49.3544,-36.569,-37.7472,-44.3229,-42.9277,-5.0322,-4.0147,-1.5222,-3.0094,-3.2872,-3.5252,-0.3408,-0.0425,-0.0205,0.1316,-0.1478,0.0424,-0.0736,0.013,-0.0147,0.0507,-0.039,0.0337
BCL2_BAD,31.71875,53.67,54.7145,53.1474,0.5,0.5,0.49,0.66,0.67,0.64,-16.7347,-53.4516,-7.2598,-44.6454,-11.7028,-49.6991,1.9647,-1.7866,7.5546,3.1558,3.657,0.4707,-0.1087,-0.1862,0.039,0.0352,-0.0142,-0.125,-0.0441,-0.1646,0.009,-0.0151,-0.0189,-0.0796
CDKN1B_TIMP3,31.734375,53.9,55.0259,52.8799,0.47,0.47,0.46,0.12,0.14,0.11,-48.9156,-52.5543,-37.0581,-29.7134,-41.6221,-39.1071,-5.1186,-0.82,-1.9737,3.1294,-2.9481,1.1716,-0.1793,-0.1782,0.0369,0.0745,-0.0559,-0.0083,-0.1157,-0.0334,-0.0237,-0.0138,-0.0691,-0.0226
RHOH_METTL21A,31.578125,80.18,83.9496,76.9805,0.59,0.66,0.55,0.29,0.44,0.17,-58.6507,-61.5682,-28.4902,-19.6335,-36.9638,-40.2508,-1.9188,-2.8745,0.5707,1.05,-0.7271,-1.058,-0.0239,-0.2469,0.0778,0.0238,0.0176,-0.1024,-0.0474,-0.0223,-0.0116,0.0129,-0.0261,-0.0073
MAPK1_TOMM5,31.46875,80.63,82.4838,79.4014,0.82,0.83,0.8,0.24,0.3,0.19,-39.2913,-81.5393,-25.5428,-52.7384,-35.5393,-64.5801,-1.772,-16.0821,-0.4606,0.5275,-1.0397,-9.4865,-0.0489,-0.3297,-0.0119,0.1388,-0.0291,-0.0945,-0.0266,-0.0579,-0.0062,0.0662,-0.0156,0.0073
CDKN2A_SULT2A1,31.609375,79.64,81.5257,78.5498,0.64,0.66,0.63,0.17,0.27,0.13,-40.9327,-45.6239,-31.2181,-27.3573,-37.2377,-35.5949,-3.993,-2.7252,-3.5839,0.1602,-3.7606,-1.2796,0.0108,-0.1607,0.0608,0.1189,0.0321,0.0122,-0.0836,-0.016,-0.016,0.0347,-0.057,0.0048
MYD88_POLR2J,31.703125,65.91,68.8917,63.1213,0.39,0.4,0.38,0.11,0.12,0.1,-59.4366,-53.1014,-35.1939,-24.8881,-48.2005,-34.0269,-3.8534,-1.2029,-0.0469,1.7247,-2.1541,-0.2101,-0.3406,-0.0637,0.0572,0.0008,-0.1876,-0.0355,-0.0608,-0.0741,-0.0121,0.1161,-0.038,0.0186
JUN_IER3IP1,31.71875,36.81,38.9859,35.1257,0.23,0.25,0.22,0.2,0.34,0.12,-36.2128,-47.5282,0.0,0.0,-24.5016,-24.9,0.4189,-10.7511,4.5622,0.5511,2.8463,-6.2087,-0.1264,-0.3427,0.134,0.4294,-0.0273,0.0596,-0.0522,-0.1371,-0.0012,0.0689,-0.0223,-0.0223
BCL10_C5orf24,31.734375,41.88,44.3272,39.4145,0.32,0.33,0.31,0.1,0.13,0.08,-55.3468,-51.5351,-12.9792,2.1208,-38.6631,-33.3655,-4.4108,-9.0317,-0.7192,1.7642,-2.6362,-1.7174,-0.2871,-0.5138,0.252,1.831,-0.1205,0.4192,-0.1099,-0.0653,-0.0302,0.1215,-0.0649,0.0228
RAC1_PXDC1,31.671875,64.67,65.8162,63.8337,0.47,0.47,0.47,0.12,0.15,0.1,-42.5549,-60.7344,-24.4344,-32.3329,-31.5688,-41.9231,-2.8041,-2.1284,-0.6573,1.4086,-1.7472,-0.4231,-0.0688,-0.2757,0.0185,-0.0219,-0.0233,-0.1582,-0.0274,-0.1067,-0.0113,-0.0344,-0.0169,-0.0709
BCL2_RNF5,31.71875,50.04,52.19,48.6794,0.46,0.49,0.45,0.19,0.23,0.14,-27.4957,-61.0263,-15.5175,-35.6525,-21.5597,-45.1306,-2.6362,0.6157,1.4828,9.291,-0.3039,3.7742,-0.0242,-0.0523,0.1843,0.0772,0.0621,0.0183,-0.1416,-0.0286,0.0262,0.1332,-0.0438,0.0168
