gene_symbol_a,gene_symbol_b
BTK,BLNK
BTK,GTF2I
BTK,PLCG2
BTK,SH3BP5
BUB1B,ANAPC4
BUB1B,ANAPC7
BUB1B,BUB3
BUB1B,CDC16
BUB1B,CDC20
BUB1B,CDC27
BUB1B,MAD2L1
BUB1B,MAD2L1BP
BUB1B,MXI1
BUB1B,PLK1
BUB1B,PPP2CA
BUB1B,PPP2R5A
BUB1B,PPP2R5C
BUB1B,PTTG1
BUB1B,SNCG
CALR,PDIA3
CALR,TAP1
CALR,TAPBP
CARD11,BCL10
CARD11,CSNK1A1
CARD11,IKBKG
CARD11,MALT1
CARD11,MAP3K7
CARD11,PPP2R1A
CARD11,PRKCQ
CASP8,BCAP31
CASP8,BCL2
CASP8,BIRC2
CASP8,BIRC3
CASP8,CASP10
CASP8,CFLAR
CASP8,CUL3
CASP8,DEDD
CASP8,DEDD2
CASP8,FADD
CASP8,FAF1
CASP8,FAS
CASP8,FASLG
CASP8,GMEB1
CASP8,HIP1
CASP8,NLRC4
CASP8,NOL3
CASP8,PTEN
CASP8,PYCARD
CASP8,RIPK1
CASP8,RIPK3
CASP8,RNF34
CASP8,SQSTM1
CASP8,SRC
CASP8,TICAM1
CASP8,TNFAIP3
CASP8,TNFRSF10A
CASP8,TNFRSF10B
CASP8,TNFSF10
CASP8,TRADD
CASP8,TRAF2
CASP8,TRAF6
CASP8,XIAP
CBFA2T3,HDAC1
CBFA2T3,HDAC3
CBFA2T3,LDB1
CBFA2T3,RUNX1T1
CBFA2T3,TAL1
CBFA2T3,ZBTB33
CBFB,FOXC1
CBFB,RUNX1
CBFB,RUNX2
CBFB,RUNX3
CBL,ACTB
CBL,ARHGEF7
CBL,CAPZA1
CBL,CD2AP
CBL,CDC42
CBL,CRK
CBL,CRKL
CBL,CSF1R
CBL,CTNNB1
CBL,EPHA2
CBL,EPHB1
CBL,FRS2
CBL,FYN
CBL,GRB2
CBL,HCK
CBL,KIT
CBL,LAT
CBL,LCK
CBL,LCP2
CBL,LYN
CBL,MAPK14
CBL,NCK1
CBL,NRAS
CBL,NTRK1
CBL,PDGFRA
CBL,PIK3CA
CBL,PIK3CB
CBL,PIK3R1
CBL,PIK3R2
CBL,PRNP
CBL,PRPSAP2
CBL,PTEN
CBL,PTK2B
CBL,PTPN11
CBL,PXN
CBL,SFN
CBL,SH2B2
CBL,SH3KBP1
CBL,SHC1
CBL,SLA
CBL,SLA2
CBL,SPRY1
CBL,SPRY2
CBL,SRC
CBL,STAP2
CBL,STAT5A
CBL,SYK
CBL,TGFBR2
CBL,TNFRSF10B
CBL,TNS4
CBL,TUBB
CBL,UBASH3A
CBL,UBASH3B
CBL,UBE2E1
CBL,UBE2E3
CBL,UBE2L3
CBL,VAV1
CBL,YWHAB
CBL,YWHAE
CBL,YWHAH
CBL,YWHAQ
CBL,YWHAZ
CBL,ZAP70
CBLB,DDR2
CBLB,GRB2
CBLB,PIK3R1
CBLB,PTPN11
CBLB,SH3KBP1
CBLB,VAV1
CBLB,ZAP70
CCDC6,FBXW7
CCDC6,PPP4C
CCNB1IP1,NF2
CCND1,AMBRA1
CCND1,AR
CCND1,CDK2
CCND1,CDK4
CCND1,CDK6
CCND1,CDKN1A
CCND1,CDKN1B
CCND1,CUL1
CCND1,DZIP3
CCND1,ESR1
CCND1,FBXO31
CCND1,FBXO4
CCND1,FBXW8
CCND1,HDAC1
CCND1,HDAC3
CCND1,HSPA8
CCND1,INSM1
CCND1,KAT2B
CCND1,PCNA
CCND1,RB1
CCND1,SKP1
CCND1,SKP2
CCND1,STAT3
CCND1,USP2
CCND1,USP5
CCND3,AKAP8
CCND3,ATF5
CCND3,CDK11B
CCND3,CDK14
CCND3,CDK2
CCND3,CDK4
CCND3,CDK6
CCND3,CDKN1A
CCND3,CDKN1B
CCND3,CRABP2
CCND3,EIF3K
CCND3,RARA
CCND3,RB1
CCND3,RBL2
CCND3,VDR
CCNE1,CDK1
CCNE1,CDK2
CCNE1,CDKN1A
CCNE1,CDKN1B
CCNE1,CUL3
CCNE1,FBXW7
CCNE1,NPAT
CCNE1,RBL2
CCNE1,SPOP
CCNE1,UHRF2
CD274,CUL3
CD274,ITCH
CD274,RNF125
CD274,SPOP
CD274,USP22
CD274,USP5
CD274,USP7
CD274,USP8
CD79A,BLNK
CDH1,CBLL1
CDH1,CDC27
CDH1,CSE1L
CDH1,CTNNA1
CDH1,CTNNB1
CDH1,CTNND1
CDH1,JUP
CDH1,MDM2
CDH1,PSEN1
CDH1,RAD17
CDH1,SKP2
CDH1,SRC
CDH11,AMOT
CDH11,CTNNB1
CDK4,CCNA2
CDK4,CCND1
CDK4,CCND2
CDK4,CCND3
CDK4,CDC37
CDK4,CDKN1A
CDK4,CDKN1B
CDK4,FKBP5
CDK4,HSP90AA1
CDK4,PCNA
CDK4,PPP2R1B
CDK4,PSMD10
CDK4,RB1
CDK6,CCND1
CDK6,CCND2
CDK6,CCND3
CDK6,CDKN1A
CDK6,CDKN2B
CDKN1B,AKT1
CDKN1B,CCNA1
CDKN1B,CCNA2
CDKN1B,CCNB1
CDKN1B,CCND1
CDKN1B,CCND3
CDKN1B,CCNE1
CDKN1B,CCNE2
CDKN1B,CDK1
CDKN1B,CDK2
CDKN1B,CDK5
CDKN1B,CDK6
CDKN1B,COPS5
CDKN1B,CUL4A
CDKN1B,MCM7
CDKN1B,RCHY1
CDKN1B,RHOA
CDKN1B,SKP2
CDKN1B,SPDYA
CDKN1B,VHL
CDKN1B,XPO1
CDKN1B,YWHAQ
CDKN2A,ARFIP2
CDKN2A,BACH1
CDKN2A,BCL2L1
CDKN2A,CDK4
CDKN2A,CDK5RAP3
CDKN2A,CDK6
CDKN2A,CDKN2AIP
CDKN2A,COMMD1
CDKN2A,CTBP2
CDKN2A,CUL2
CDKN2A,E4F1
CDKN2A,HSPA9
CDKN2A,ISOC2
CDKN2A,KLHDC3
CDKN2A,MAPK8
CDKN2A,MDM2
CDKN2A,MYC
CDKN2A,NMI
CDKN2A,NPM1
CDKN2A,PPP1R9B
CDKN2A,PSMC3
CDKN2A,PSME3
CDKN2A,RPL11
CDKN2A,SMARCA4
CDKN2A,TOP1
CDKN2A,TP53
CDKN2A,UBE2I
CDKN2A,VHL
CDKN2A,ZBTB17
CDKN2A,ZNF420
CDKN2C,CDK4
CDKN2C,CDK6
CDX2,KDM5B
CDX2,RELA
CEBPA,CDK2
CEBPA,CDK4
CEBPA,CDX1
CEBPA,DDIT3
CEBPA,FOXC1
CEBPA,HDAC1
CEBPA,KAT5
CEBPA,MAX
CEBPA,PARP1
CEBPA,SKP2
CEBPA,SMARCA2
CEBPA,XRCC5
CHEK2,ELAVL1
CHEK2,FHL1
CHEK2,KPNA2
CHEK2,MDM2
CHEK2,MSH2
CHEK2,PLK3
CHEK2,PPP2R5C
CHEK2,RNF8
CIITA,HDAC2
CIITA,KAT2B
CIITA,PSMC5
CIITA,RFX5
CIITA,RFXANK
CLIP1,PAFAH1B1
CLTC,ARF6
CNOT3,CNOT6L
CNOT3,CNOT8
COL1A1,IGFBP3
CREB1,CTNNB1
CREB1,DAXX
CREB1,FHL2
CREB1,FHL3
CREB1,FHL5
CREB1,HDAC1
CREB1,HDAC2
CREB1,NR5A2
CREB1,TP53
CREB1,YAP1
CRTC3,NEDD4L
CTNNB1,AHR
CTNNB1,AR
CTNNB1,AXIN1
CTNNB1,BTF3
CTNNB1,BTRC
CTNNB1,CACYBP
CTNNB1,CAV1
CTNNB1,CBL
CTNNB1,CBY1
CTNNB1,CDC73
CTNNB1,CDH1
CTNNB1,CDH11
CTNNB1,CDH2
CTNNB1,CDH3
CTNNB1,CDH5
CTNNB1,CDK5R1
CTNNB1,COPS5
CTNNB1,CRYAB
CTNNB1,CTBP1
CTNNB1,CTNNA1
CTNNB1,CTNNBIP1
CTNNB1,CTNND1
CTNNB1,DDX5
CTNNB1,EGFR
CTNNB1,ENKUR
CTNNB1,EZH2
CTNNB1,FAF1
CTNNB1,FANCC
CTNNB1,FBXO45
CTNNB1,FBXW11
CTNNB1,FHL2
CTNNB1,FOXO4
CTNNB1,FUS
CTNNB1,GLIS2
CTNNB1,GSK3B
CTNNB1,HDAC1
CTNNB1,HDAC7
CTNNB1,HERC5
CTNNB1,HIF1A
CTNNB1,HINT1
CTNNB1,HNRNPA1
CTNNB1,HNRNPA2B1
CTNNB1,IRF2BPL
CTNNB1,JOSD2
CTNNB1,JUP
CTNNB1,LEF1
CTNNB1,MAP3K2
CTNNB1,NONO
CTNNB1,NR4A1
CTNNB1,OTUB1
CTNNB1,PKM
CTNNB1,PLK1
CTNNB1,PML
CTNNB1,POU5F1
CTNNB1,PPARG
CTNNB1,PSEN1
CTNNB1,PTPN14
CTNNB1,RAC1
CTNNB1,RUVBL1
CTNNB1,RUVBL2
CTNNB1,SEC62
CTNNB1,SIAH1
CTNNB1,SKP1
CTNNB1,SLC30A9
CTNNB1,SMAD2
CTNNB1,SMAD3
CTNNB1,SMAD7
CTNNB1,SMARCA5
CTNNB1,SOX2
CTNNB1,SP1
CTNNB1,TBL1X
CTNNB1,TBL1XR1
CTNNB1,TCF4
CTNNB1,TCF7L2
CTNNB1,TRAF6
CTNNB1,UBE2S
CTNNB1,USP15
CTNNB1,USP2
CTNNB1,USP4
CTNNB1,USP7
CTNNB1,VCL
CTNNB1,YAP1
CTNNB1,YWHAZ
CUX1,EHMT2
CUX1,RB1
CUX1,SOX2
CXCR4,CD4
CXCR4,ITCH
CYLD,BCL3
CYLD,CENPV
CYLD,CLIP3
CYLD,IKBKE
CYLD,IKBKG
CYLD,MAP3K7
CYLD,MAPRE1
CYLD,MIB2
CYLD,NOD2
CYLD,OPTN
CYLD,PLK1
CYLD,PRNP
CYLD,RIPK1
CYLD,SHARPIN
CYLD,SMAD7
CYLD,SPATA2
CYLD,SQSTM1
CYLD,TBK1
CYLD,TNF
CYLD,TNFRSF1A
CYLD,TP53
CYLD,TRAF2
CYLD,TRAF6
DAXX,AIRE
DAXX,AR
DAXX,AXIN1
DAXX,CEBPB
DAXX,DKC1
DAXX,DMAP1
DAXX,ETS1
DAXX,FAS
DAXX,FTH1
DAXX,HDAC1
DAXX,HIPK2
DAXX,HSF1
DAXX,HSPB1
DAXX,MCRS1
DAXX,MDM2
DAXX,MX1
DAXX,NR3C1
DAXX,NR3C2
DAXX,PARK7
DAXX,PML
DAXX,RASSF1
DAXX,RELA
DAXX,RELB
DAXX,SLC2A4
DAXX,SLC9A1
DAXX,SMAD4
DAXX,SPOP
DAXX,SQSTM1
DAXX,SUMO1
DAXX,SUMO2
DAXX,TCF7L2
DAXX,TP53
DAXX,TP63
DAXX,TP73
DAXX,TRIM21
DAXX,UBE2I
DAXX,USP7
DCTN1,BBS4
DCTN1,DYNC1I1
DCTN1,DYNC1LI1
DCTN1,FBXL5
DCTN1,HAP1
DCTN1,PAFAH1B1
DCTN1,RAB6A
DDB2,BANF1
DDB2,COPS2
DDB2,COPS3
DDB2,COPS4
DDB2,COPS5
DDB2,COPS6
DDB2,COPS7A
DDB2,COPS8
DDB2,CUL4A
DDB2,CUL4B
DDB2,DDB1
DDB2,E2F1
DDB2,GPS1
DDB2,HDAC1
DDB2,PAQR3
DDB2,RBX1
DDB2,USP53
DDB2,XPC
DDB2,ZRANB1
DDIT3,ATF3
DDIT3,CEBPA
DDIT3,CEBPB
DDIT3,FOS
DDIT3,GABBR2
DDIT3,HDAC1
DDIT3,JUND
DDIT3,NFE2L2
DDR2,CBLB
DDR2,HSP90AA1
DDR2,SHC1
DDX3X,EIF3B
DDX3X,EIF3E
DDX3X,IKBKE
DDX3X,TDRD3
DDX3X,TRIM25
DDX3X,TRIM58
DDX5,AIRE
DDX5,AKT1
DDX5,CBX7
DDX5,CDK9
DDX5,EED
DDX5,ESR1
DDX5,EZH2
DDX5,FBL
DDX5,HDAC1
DDX5,HDAC2
DDX5,HDAC3
DDX5,RNF2
DDX5,RYBP
DDX5,SUZ12
DDX5,TRIM25
DDX5,TRIM28
DDX6,AFF1
DDX6,BAG4
DDX6,DCP1A
DDX6,DCP1B
DDX6,EDC3
DDX6,LSM14A
DDX6,PATL1
DEK,BAZ1B
DEK,BMI1
DEK,SPOP
DEK,TFAP2A
DNAJB1,ABCG2
DNAJB1,BAG1
DNAJB1,BAG2
DNAJB1,BAG4
DNAJB1,CDC37
DNAJB1,HSPA4
DNAJB1,MDM2
DNAJB1,MLF2
DNAJB1,NUDC
DNAJB1,SLC12A3
DNAJB1,STUB1
DNAJB1,TP53
DNM2,SH3KBP1
DNM2,SNX9
DNMT3A,CBX5
DNMT3A,CUL4B
DNMT3A,DNMT3B
DNMT3A,DNMT3L
DNMT3A,HDAC1
DNMT3A,MYC
DNMT3A,PIAS1
DNMT3A,PIAS2
DNMT3A,UBE2I
DNMT3A,UHRF1
DNMT3A,ZBTB17
EGFR,AKT1
EGFR,AKTIP
EGFR,ANKRD13A
EGFR,AP2M1
EGFR,APBB2
EGFR,ARF4
EGFR,ARRB1
EGFR,BAIAP2
EGFR,BLK
EGFR,CALM1
EGFR,CAMLG
EGFR,CAV1
EGFR,CAV2
EGFR,CBLC
EGFR,CD44
EGFR,CDC25C
EGFR,CDC37
EGFR,CDK1
EGFR,CISH
EGFR,CLTA
EGFR,CRK
EGFR,CRKL
EGFR,CSK
EGFR,CTNNB1
EGFR,CTTN
EGFR,DNAJA3
EGFR,DOK1
EGFR,ENO1
EGFR,EPN1
EGFR,ERCC1
EGFR,EREG
EGFR,ERRFI1
EGFR,FGR
EGFR,FRK
EGFR,GAB1
EGFR,GAPDH
EGFR,GNAI3
EGFR,GRAP2
EGFR,GRB2
EGFR,HGS
EGFR,HSP90AA1
EGFR,HSP90AB1
EGFR,HSPA1A
EGFR,HSPA5
EGFR,HSPA8
EGFR,IKBKG
EGFR,LAT
EGFR,LCP2
EGFR,LGALS1
EGFR,LGALS3
EGFR,LMNA
EGFR,LYN
EGFR,MAPK8
EGFR,NCK1
EGFR,NCK2
EGFR,NCL
EGFR,NR3C1
EGFR,NRG1
EGFR,OS9
EGFR,PAK1
EGFR,PFKP
EGFR,PIK3R1
EGFR,PIK3R2
EGFR,PPM1A
EGFR,PRKCA
EGFR,PTEN
EGFR,PTPN1
EGFR,PTPN11
EGFR,PTPN12
EGFR,PTPN2
EGFR,PTPN6
EGFR,RAB31
EGFR,RAB5A
EGFR,RIN1
EGFR,S100A4
EGFR,S100A9
EGFR,SEC61A1
EGFR,SEC61B
EGFR,SFN
EGFR,SH2D3A
EGFR,SH3GL2
EGFR,SH3KBP1
EGFR,SHC1
EGFR,SHC2
EGFR,SHC3
EGFR,SHC4
EGFR,SLC3A2
EGFR,SMURF2
EGFR,SNCA
EGFR,SOCS3
EGFR,SRC
EGFR,STAP2
EGFR,STAT1
EGFR,STAT3
EGFR,STAT5B
EGFR,STUB1
EGFR,TRAF2
EGFR,TUBA1A
EGFR,TUBB2A
EGFR,UBASH3A
EGFR,UBASH3B
EGFR,UCHL1
EGFR,YWHAZ
EGFR,ZAP70
EIF3E,COPS6
EIF3E,CSN3
EIF3E,DCC
EIF3E,DDX3X
EIF3E,EIF3A
EIF3E,EIF3B
EIF3E,EIF3C
EIF3E,EIF3D
EIF3E,EIF3H
EIF3E,EIF3J
EIF3E,TRIM27
ELL,CCAR2
ELL,CDK9
ELL,EAF1
ELL,EAF2
ELL,HDAC3
ELL,ICE2
ELL,MED26
ELL,MLLT3
ELL,TP53
EPAS1,ARNT
EPAS1,IKBKG
EPAS1,KLHL20
EPAS1,VHL
EPS15,AP2A1
EPS15,EPN1
EPS15,GJA1
EPS15,HGS
EPS15,RNF11
EPS15,SH3BP4
EPS15,STON2
EPS15,UBQLN1
EPS15,UBQLN2
ERBB2,BECN1
ERBB2,CD44
ERBB2,DLG4
ERBB2,GRB2
ERBB2,GRB7
ERBB2,HSP90AA1
ERBB2,PICK1
ERBB2,PIK3R1
ERBB2,PTPN11
ERBB2,PTPN6
ERBB2,PTPRR
ERBB2,SHC1
ERBB2,SRC
ERBB2,STUB1
ERBB3,GRB2
ERBB3,PA2G4
ERBB3,PTPN11
ERBB3,RNF41
ERBB3,SHC1
ERBB4,FYN
ERBB4,GRB2
ERBB4,NUDCD1
ERBB4,PTPN11
ERBB4,SHC1
ERBB4,WWOX
ERBB4,YAP1
ERC1,IKBKB
ERC1,IKBKG
ERCC2,CDK7
ERCC2,CIAO1
ERCC2,GTF2H1
ERCC2,GTF2H2
ERCC2,MMS19
ERCC3,CCNH
ERCC3,CDK7
ERCC3,ERCC2
ERCC3,GTF2H1
ERCC3,GTF2H2
ERCC3,GTF2H3
ERCC3,GTF2H4
ERCC3,GTF2H5
ERCC3,MNAT1
ERCC3,UBXN7
ERCC3,UVSSA
ERCC4,ERCC1
ERCC4,KIF11
ERCC4,SLX4IP
ERCC4,USP45
ERG,AR
ERG,SPOP
ESR1,ACTB
ESR1,ACTR2
ESR1,ACTR3
ESR1,AHR
ESR1,ARID5A
ESR1,ASH2L
ESR1,BAG1
ESR1,BARD1
ESR1,BCAR1
ESR1,BCAS2
ESR1,BTF3
ESR1,CAV1
ESR1,CBLL1
ESR1,CCND1
ESR1,CDC25B
ESR1,DDX17
ESR1,DDX5
ESR1,DNTTIP2
ESR1,ESR2
ESR1,FHL1
ESR1,FOXK2
ESR1,FOXO1
ESR1,GSN
ESR1,HDAC1
ESR1,HDAC4
ESR1,HIF1A
ESR1,HSP90AA1
ESR1,HSPA4
ESR1,HSPA8
ESR1,IGF1R
ESR1,JUN
ESR1,KAT5
ESR1,KDM4B
ESR1,MDM2
ESR1,MED25
ESR1,MEN1
ESR1,MGMT
ESR1,MPG
ESR1,MYO1C
ESR1,NPM1
ESR1,NR2F1
ESR1,NRIP1
ESR1,PAK1
ESR1,PBXIP1
ESR1,PFN1
ESR1,PHB2
ESR1,PIK3CA
ESR1,PIK3R1
ESR1,PPP5C
ESR1,RAC3
ESR1,RBBP5
ESR1,RBCK1
ESR1,RELA
ESR1,SAFB
ESR1,SIN3A
ESR1,SMAD2
ESR1,SMURF1
ESR1,SP1
ESR1,SPOP
ESR1,SRC
ESR1,STUB1
ESR1,TAB2
ESR1,TADA3
ESR1,TP53
ESR1,TRAM1
ESR1,TRIM3
ESR1,TUBB1
ESR1,UBE3A
ESR1,UIMC1
ESR1,WDR5
ETV4,NFE2L2
ETV4,SMAD2
ETV4,STK11
EWSR1,BARD1
EWSR1,SNRPC
EWSR1,TDRD3
EZH2,AEBP2
EZH2,CDK1
EZH2,CTNNB1
EZH2,DDX5
EZH2,DNMT3B
EZH2,E2F6
EZH2,EED
EZH2,EPC1
EZH2,EZH1
EZH2,HDAC1
EZH2,HDAC2
EZH2,JARID2
EZH2,MDM2
EZH2,MTF2
EZH2,MYC
EZH2,MYCN
EZH2,PHF1
EZH2,PHF19
EZH2,PPP1R8
EZH2,RBBP4
EZH2,SIRT1
EZH2,SMURF2
EZH2,SNAI1
EZH2,SS18
EZH2,SSX2
EZH2,SUZ12
EZH2,TRIM28
EZH2,USP44
EZH2,USP7
EZH2,VAV1
EZH2,YY1
EZH2,ZBTB16
EZR,PRKCA
EZR,VPS11
FANCA,AKT1
FANCA,CDK1
FANCA,CTBP1
FANCA,FANCE
FANCA,FANCL
FANCA,HES1
FANCA,NEK2
FANCA,SNX5
FANCD2,CEBPD
FANCD2,FANCE
FANCD2,KAT5
FANCD2,RAD18
FANCE,FANCC
FANCE,FANCG
FANCE,HES1
FANCF,CTBP1
FANCF,FANCA
FANCF,FANCC
FANCF,FANCE
FANCF,FANCG
FANCF,FANCL
FANCF,GINS2
FANCF,HES1
FBXO11,BCL6
FBXO11,CUL1
FBXO11,DTL
FBXO11,RBX1
FBXO11,SKP1
FBXO11,TP53
FBXW7,ACD
FBXW7,ACTL6A
FBXW7,AURKA
FBXW7,CCDC6
FBXW7,CCDC65
FBXW7,CCNE1
FBXW7,CRY2
FBXW7,CUL1
FBXW7,ENO1
FBXW7,EYA1
FBXW7,HSF1
FBXW7,JUN
FBXW7,KLF5
FBXW7,MCL1
FBXW7,MED24
FBXW7,MLST8
FBXW7,MYB
FBXW7,MYC
FBXW7,MYCN
FBXW7,NFE2L1
FBXW7,NFKB2
FBXW7,PTPN11
FBXW7,RBX1
FBXW7,SKP1
FBXW7,SOX9
FBXW7,SREBF1
FBXW7,STAT2
FBXW7,STAT3
FBXW7,STOML1
FBXW7,STYX
FBXW7,VDAC3
FBXW7,WDR5
FBXW7,XRCC4
FBXW7,YAP1
FES,HSH2D
FES,TRIM28
FGFR2,FRS2
FGFR2,PTPN6
FGFR3,CDC37
FGFR3,EPHA4
FGFR3,HSP90AA1
FGFR3,HSP90AB1
FHIT,UBE2I
FIP1L1,CPSF3
FIP1L1,CPSF4
FLI1,ETV6
FLI1,GATA1
FLI1,KAT2B
FLI1,PIAS2
FLT4,SHC1
FOXA1,AR
FOXA1,NKX2-1
FOXL2,LATS1
FOXO1,AR
FOXO1,ATG7
FOXO1,CRY1
