gene,gencodeID_transcript_MANE
CSF1R,ENST00000675795
NAA25,ENST00000261745
INPP4A,ENST00000409851
RUBCN,ENST00000296343
ZC3H7A,ENST00000355758
CSE1L,ENST00000262982
SLC26A8,ENST00000490799
GMIP,ENST00000203556
MYO19,ENST00000614623
PLK4,ENST00000270861
ZNF845,ENST00000458035
DNAJC6,ENST00000371069
PCSK6,ENST00000611716
NFKB1,ENST00000226574
PKD2,ENST00000237596
AARS1,ENST00000261772
CTNND1,ENST00000399050
KIAA0753,ENST00000361413
ZKSCAN2,ENST00000328086
ADAMTS1,ENST00000284984
LGR6,ENST00000367278
ANPEP,ENST00000300060
MAP3K13,ENST00000265026
NBR1,ENST00000590996
SKOR1,ENST00000380035
TRIM37,ENST00000262294
ADAM22,ENST00000413139
VPS50,ENST00000305866
IREB2,ENST00000258886
LRP8,ENST00000306052
INTS4,ENST00000534064
VPS35L,ENST00000417362
TBC1D2B,ENST00000300584
SH3BP4,ENST00000392011
PACS1,ENST00000320580
USP4,ENST00000265560
SART3,ENST00000546815
IPO13,ENST00000372343
ARVCF,ENST00000263207
INTS7,ENST00000366994
USO1,ENST00000514213
GABBR1,ENST00000377034
THBS4,ENST00000350881
CTDP1,ENST00000613122
ERAP2,ENST00000437043
RBM19,ENST00000261741
PPP6R2,ENST00000612753
SLC4A9,ENST00000506757
LONP1,ENST00000360614
KCNH6,ENST00000314672
DIS3,ENST00000377767
DSE,ENST00000644252
TXNDC11,ENST00000283033
COL21A1,ENST00000244728
ERC2,ENST00000288221
DRP2,ENST00000395209
SNX13,ENST00000428135
KIF5C,ENST00000435030
AMOTL1,ENST00000433060
MATN2,ENST00000254898
CLSTN3,ENST00000266546
THBS3,ENST00000368378
CYLD,ENST00000427738
ZHX3,ENST00000683867
GRIK4,ENST00000527524
FBXO10,ENST00000432825
ANO4,ENST00000392977
MDGA1,ENST00000434837
HAUS6,ENST00000380502
MIB2,ENST00000355826
AP2A1,ENST00000354293
STON2,ENST00000614646
VWCE,ENST00000335613
CEP112,ENST00000535342
ZNF618,ENST00000374126
SMARCAL1,ENST00000357276
COPB1,ENST00000439561
PSMD1,ENST00000308696
TRAK1,ENST00000327628
NOD1,ENST00000222823
UNC5D,ENST00000404895
ZC3H18,ENST00000301011
ZNF507,ENST00000355898
SAFB2,ENST00000252542
CTNNA2,ENST00000402739
ALS2CL,ENST00000318962
MEIOC,ENST00000409122
GAA,ENST00000302262
LGR4,ENST00000379214
CCDC15,ENST00000344762
SFSWAP,ENST00000261674
CATSPERE,ENST00000366534
ADAMTSL2,ENST00000651351
CNNM1,ENST00000356713
AP2B1,ENST00000610402
CC2D1A,ENST00000318003
DCAF6,ENST00000367840
RIPOR3,ENST00000327979
CCDC80,ENST00000206423
PCDHA1,ENST00000504120
OSBPL1A,ENST00000319481
PCDHA9,ENST00000532602
PPP4R1,ENST00000400556
PCDHA8,ENST00000531613
PCDHA6,ENST00000529310
CARNS1,ENST00000687366
PCDHA13,ENST00000289272
PCDHA11,ENST00000398640
MMRN2,ENST00000372027
AP1B1,ENST00000357586
GRIK1,ENST00000327783
GTF2IRD2B,ENST00000472837
GTF2IRD2,ENST00000451013
PHF14,ENST00000634607
CCDC66,ENST00000394672
PCDHA10,ENST00000307360
PCDHA2,ENST00000526136
ZNF268,ENST00000536435
BRDT,ENST00000399546
MAP3K14,ENST00000344686
PCDHA4,ENST00000530339
ARHGAP4,ENST00000350060
ITPKB,ENST00000429204
SNX14,ENST00000314673
ITIH2,ENST00000358415
ATP2C2,ENST00000262429
UNC5B,ENST00000335350
GANAB,ENST00000356638
UNC45A,ENST00000418476
PROSER1,ENST00000352251
GTF2IRD1,ENST00000424337
NFATC1,ENST00000427363
CENPC,ENST00000273853
WDR3,ENST00000349139
ROR2,ENST00000375708
DCAF5,ENST00000341516
PKN1,ENST00000242783
ITIH5,ENST00000397146
INTU,ENST00000335251
NCOA7,ENST00000392477
PCDHA12,ENST00000398631
MYCBPAP,ENST00000323776
VPS11,ENST00000621676
ERAP1,ENST00000443439
CCDC39,ENST00000476379
CFAP69,ENST00000389297
PDE2A,ENST00000334456
BBX,ENST00000325805
XPC,ENST00000285021
ZFR2,ENST00000262961
AP2A2,ENST00000448903
DDX42,ENST00000389924
ANKLE2,ENST00000357997
GRIN1,ENST00000371561
FAM13B,ENST00000689681
ROR1,ENST00000371079
PCDHA7,ENST00000525929
MORC4,ENST00000355610
ZNF836,ENST00000682614
PCDHA5,ENST00000529859
CCDC191,ENST00000295878
ZNRF3,ENST00000544604
ARMC5,ENST00000268314
MTHFD1,ENST00000652337
C6,ENST00000337836
MSH2,ENST00000233146
OSBPL6,ENST00000190611
PGR,ENST00000325455
PDE11A,ENST00000286063
PLD2,ENST00000263088
TPO,ENST00000329066
PMS1,ENST00000441310
KCNQ5,ENST00000370398
EDEM3,ENST00000318130
GPATCH1,ENST00000170564
UNC5C,ENST00000453304
PIGN,ENST00000640252
TRPC6,ENST00000344327
URGCP,ENST00000453200
GLIS3,ENST00000381971
RBM10,ENST00000377604
SEMA6C,ENST00000368914
ITIH4,ENST00000266041
UNC45B,ENST00000394570
SCYL2,ENST00000360820
TAF3,ENST00000344293
DSTYK,ENST00000367162
TEX10,ENST00000374902
KSR1,ENST00000644974
DENND2C,ENST00000393274
RB1,ENST00000267163
TBC1D2,ENST00000465784
FBXO11,ENST00000403359
ZNF839,ENST00000442396
GBA2,ENST00000378103
NRP2,ENST00000357785
AASS,ENST00000417368
GPRC6A,ENST00000310357
STOX2,ENST00000308497
KCTD19,ENST00000304372
LPIN1,ENST00000674199
CASK,ENST00000378163
ETAA1,ENST00000272342
SPAG1,ENST00000388798
ERN2,ENST00000256797
CEP104,ENST00000378230
NUP107,ENST00000229179
ENPP1,ENST00000647893
CORO7,ENST00000251166
TEX11,ENST00000374333
INPP4B,ENST00000262992
ICAM5,ENST00000221980
ATG9B,ENST00000639579
RAPGEF3,ENST00000449771
RNF216,ENST00000389902
PCDHGB4,ENST00000519479
TNPO3,ENST00000265388
ZNF721,ENST00000511833
SEZ6L2,ENST00000617533
NRP1,ENST00000374867
ALDH1L2,ENST00000258494
CCAR2,ENST00000308511
WWP1,ENST00000517970
PGAP1,ENST00000354764
NFATC2,ENST00000371564
SLC8A2,ENST00000236877
TRPC3,ENST00000379645
SLC8A3,ENST00000356921
COL9A1,ENST00000357250
TCAF1,ENST00000479870
BCLAF1,ENST00000531224
ZSWIM9,ENST00000614654
AGBL3,ENST00000436302
SLC14A2,ENST00000255226
USP11,ENST00000377107
AR,ENST00000374690
ZMIZ2,ENST00000309315
WDR47,ENST00000369962
GRIK3,ENST00000373091
ATP2C1,ENST00000510168
SNCAIP,ENST00000261368
NPEPPS,ENST00000322157
TCAF2,ENST00000684770
EXTL3,ENST00000220562
MLXIP,ENST00000319080
TJP3,ENST00000541714
LIG1,ENST00000263274
IL6ST,ENST00000381298
INCENP,ENST00000394818
ADAM19,ENST00000257527
SARDH,ENST00000439388
HK2,ENST00000290573
SAFB,ENST00000588852
HK1,ENST00000359426
PAXBP1,ENST00000331923
NSMAF,ENST00000038176
CHERP,ENST00000546361
OSBP2,ENST00000332585
NEFM,ENST00000221166
OGA,ENST00000361464
MINAR1,ENST00000305428
ERCC4,ENST00000311895
CDH4,ENST00000614565
SPIDR,ENST00000297423
GRM7,ENST00000357716
SMTN,ENST00000333137
SLC12A9,ENST00000354161
USP20,ENST00000372429
GANC,ENST00000318010
RALGDS,ENST00000372050
LARP1B,ENST00000326639
TMTC3,ENST00000266712
ZNF717,ENST00000652011
EIF3CL,ENST00000380876
ACTN1,ENST00000394419
ECT2,ENST00000392692
TRAK2,ENST00000332624
CLCA1,ENST00000394711
ANO5,ENST00000324559
EIF3C,ENST00000331666
INPP5B,ENST00000373024
PTPN3,ENST00000374541
WDR44,ENST00000254029
DDR1,ENST00000376568
BCAS3,ENST00000407086
IRAG1,ENST00000423302
ARHGEF1,ENST00000354532
PRKD1,ENST00000331968
DNMT3A,ENST00000321117
GRM4,ENST00000538487
SLFN14,ENST00000674182
ITIH1,ENST00000273283
E2F7,ENST00000322886
USP33,ENST00000370794
AGAP3,ENST00000397238
BCAN,ENST00000329117
SH3PXD2B,ENST00000311601
NFXL1,ENST00000507489
ACTN4,ENST00000252699
SLC4A1,ENST00000262418
ADGRF1,ENST00000371253
MARCHF6,ENST00000274140
EPS15L1,ENST00000455140
MYRFL,ENST00000552032
ANO6,ENST00000320560
PIDD1,ENST00000347755
RAD54B,ENST00000336148
FAM120B,ENST00000476287
HACE1,ENST00000262903
ZBTB41,ENST00000367405
PSMD2,ENST00000310118
GRM8,ENST00000339582
GEN1,ENST00000381254
GRIK2,ENST00000369134
FIG4,ENST00000230124
LGR5,ENST00000266674
WHRN,ENST00000362057
TUBGCP3,ENST00000261965
SNAP91,ENST00000369694
ZNF112,ENST00000354340
CTNNA1,ENST00000302763
ADAM12,ENST00000448723
COPB2,ENST00000333188
GRIA1,ENST00000285900
CBL,ENST00000264033
DDX11,ENST00000542838
CDH2,ENST00000269141
DTHD1,ENST00000639862
CCDC14,ENST00000409697
TTF1,ENST00000334270
CIP2A,ENST00000295746
MTBP,ENST00000305949
SAGE1,ENST00000370709
MICALL2,ENST00000297508
SRRM1,ENST00000323848
ECT2L,ENST00000541398
MCM2,ENST00000265056
SHLD2,ENST00000298786
PACS2,ENST00000447393
C3orf20,ENST00000253697
ERMP1,ENST00000339450
TLR3,ENST00000296795
CNTROB,ENST00000563694
LARS2,ENST00000645846
THAP9,ENST00000302236
ZZZ3,ENST00000370801
FGD4,ENST00000534526
SYNPO,ENST00000307662
ASAP3,ENST00000336689
AKAP1,ENST00000337714
ZNF808,ENST00000359798
ZC3HAV1,ENST00000242351
ALDH1L1,ENST00000393434
AGBL2,ENST00000525123
NFATC4,ENST00000250373
GRIA4,ENST00000282499
RUSC1,ENST00000368352
TUBGCP2,ENST00000252936
SLFN11,ENST00000685675
DSC2,ENST00000280904
ACTN3,ENST00000513398
OCRL,ENST00000371113
EPB41L4B,ENST00000374566
MARS1,ENST00000262027
NEDD4,ENST00000435532
POLN,ENST00000511885
NFKB2,ENST00000661543
CCSER1,ENST00000509176
SWT1,ENST00000367500
ZFP62,ENST00000502412
DDHD1,ENST00000673822
USH1C,ENST00000005226
TAOK3,ENST00000392533
TNPO1,ENST00000337273
CLCN2,ENST00000265593
INTS6L,ENST00000639893
CIZ1,ENST00000372938
CCDC186,ENST00000369287
SLFN13,ENST00000285013
TNPO2,ENST00000425528
CSF2RB,ENST00000403662
CHD1L,ENST00000369258
RBBP8,ENST00000327155
EML3,ENST00000394773
SLC9A5,ENST00000299798
EPS15,ENST00000371733
LPIN2,ENST00000677752
DSC3,ENST00000360428
RIN2,ENST00000255006
SF3B2,ENST00000322535
CTNNA3,ENST00000433211
DAG1,ENST00000308775
WDR27,ENST00000448612
CUL4B,ENST00000371322
GRIA3,ENST00000620443
MTTP,ENST00000265517
DSC1,ENST00000257198
ACTN2,ENST00000366578
MAP4K3,ENST00000263881
EXOC1,ENST00000381295
SFMBT2,ENST00000397167
PRDM9,ENST00000296682
BCL11B,ENST00000357195
AXL,ENST00000301178
MVP,ENST00000357402
DLG1,ENST00000667157
FAM186B,ENST00000257894
TBCK,ENST00000394708
DPP9,ENST00000262960
ATXN7,ENST00000674280
PRPF40B,ENST00000548825
MAP3K12,ENST00000547488
SIMC1,ENST00000429602
DNAI3,ENST00000294664
NLRP6,ENST00000534750
SLFN5,ENST00000299977
TTLL6,ENST00000393382
PRKD3,ENST00000234179
WFS1,ENST00000226760
ITIH3,ENST00000449956
HCN1,ENST00000303230
KIF20A,ENST00000394894
TYRO3,ENST00000263798
OSBPL8,ENST00000261183
ACO1,ENST00000309951
ARHGAP27,ENST00000685559
FCHO1,ENST00000596536
SEMA6B,ENST00000586582
HMGCR,ENST00000287936
OSBPL3,ENST00000313367
INTS6,ENST00000311234
ZFYVE28,ENST00000290974
TTLL7,ENST00000260505
BBS9,ENST00000242067
PAN3,ENST00000380958
PIK3C3,ENST00000262039
ESYT3,ENST00000389567
AGBL5,ENST00000360131
ADGRE1,ENST00000312053
PDE4A,ENST00000380702
GTF3C3,ENST00000263956
SP100,ENST00000340126
DIS3L2,ENST00000325385
CDHR3,ENST00000317716
PDE8B,ENST00000264917
EXOSC10,ENST00000376936
KMT5B,ENST00000304363
GRIA2,ENST00000264426
ZC3H12C,ENST00000278590
NDST2,ENST00000309979
RAPGEF5,ENST00000665637
TMTC1,ENST00000539277
CDH1,ENST00000261769
DPP8,ENST00000300141
NDST1,ENST00000261797
PML,ENST00000268058
DDX54,ENST00000306014
PPP6R1,ENST00000412770
FAAP100,ENST00000327787
EPB41L1,ENST00000338074
ARHGAP17,ENST00000289968
LRRC66,ENST00000682860
PIK3R5,ENST00000447110
MASTL,ENST00000375940
OSBPL5,ENST00000263650
GRM3,ENST00000361669
TMEM245,ENST00000374586
MANBA,ENST00000647097
ANO7,ENST00000674324
PDPR,ENST00000288050
NUTM2A,ENST00000381707
PRKD2,ENST00000291281
VAV2,ENST00000371850
MCTP2,ENST00000357742
KANSL3,ENST00000431828
MED16,ENST00000325464
GRM6,ENST00000517717
GRAMD1B,ENST00000635736
GAREM1,ENST00000269209
EXD3,ENST00000340951
KPNB1,ENST00000290158
KDM1A,ENST00000400181
SRRT,ENST00000611405
PPFIBP2,ENST00000299492
MAP7D3,ENST00000316077
MIOS,ENST00000340080
DDX10,ENST00000322536
CNNM2,ENST00000369878
ENPP3,ENST00000357639
PDE5A,ENST00000354960
VPS39,ENST00000318006
SLC4A11,ENST00000642402
FBXO41,ENST00000520530
ARHGAP42,ENST00000298815
MCM10,ENST00000378714
DRC7,ENST00000360716
ADGRD1,ENST00000261654
COPG1,ENST00000314797
TUT1,ENST00000476907
GAREM2,ENST00000401533
PPP6R3,ENST00000393800
SOBP,ENST00000317357
PPP4R4,ENST00000304338
PIWIL3,ENST00000616349
OXR1,ENST00000517566
VLDLR,ENST00000382100
HLCS,ENST00000674895
ARMC3,ENST00000298032
KCNQ2,ENST00000359125
CFAP58,ENST00000369704
KCNQ3,ENST00000388996
UBE3A,ENST00000648336
GRM2,ENST00000395052
NDST4,ENST00000264363
SULF1,ENST00000402687
COPG2,ENST00000425248
TRPV4,ENST00000261740
ANKS6,ENST00000353234
ARHGEF26,ENST00000465093
ZNF473,ENST00000270617
CCHCR1,ENST00000396268
ZBTB10,ENST00000455036
DNM2,ENST00000389253
GPR155,ENST00000392552
ARHGEF33,ENST00000409978
SULF2,ENST00000688720
WWP2,ENST00000359154
BCAR1,ENST00000162330
MUSK,ENST00000374448
CLCN6,ENST00000346436
PDCD6IP,ENST00000307296
ZFP28,ENST00000301318
E2F8,ENST00000250024
CCDC178,ENST00000383096
SP140,ENST00000392045
ARMC2,ENST00000392644
DZIP1,ENST00000376829
IL17RA,ENST00000319363
ESYT2,ENST00000275418
DMGDH,ENST00000255189
NAA15,ENST00000296543
SCARF2,ENST00000622235
NBPF11,ENST00000682118
KCTD1,ENST00000580059
XYLT2,ENST00000017003
PROM1,ENST00000447510
CEP97,ENST00000341893
DPP6,ENST00000377770
EPB41,ENST00000343067
LTK,ENST00000263800
DNM1,ENST00000372923
NAA16,ENST00000379406
MICALL1,ENST00000215957
DNM3,ENST00000627582
ADAM15,ENST00000356955
ENPP2,ENST00000075322
MCM4,ENST00000649973
USP13,ENST00000263966
L3MBTL1,ENST00000418998
TOP3B,ENST00000357179
PMS2,ENST00000265849
ITCH,ENST00000374864
AXIN1,ENST00000262320
SEMA4D,ENST00000422704
ARHGEF7,ENST00000646102
TAF4B,ENST00000269142
TRPC7,ENST00000513104
RABEP1,ENST00000537505
IL12RB2,ENST00000674203
ATXN7L1,ENST00000419735
HECTD3,ENST00000372172
ORC1,ENST00000371568
MROH9,ENST00000367759
AGO3,ENST00000373191
LRRD1,ENST00000458448
TTC13,ENST00000366661
TGFBRAP1,ENST00000393359
SH2D3C,ENST00000314830
PDE6A,ENST00000255266
LDLR,ENST00000558518
CDHR1,ENST00000623527
LRP12,ENST00000276654
AGO2,ENST00000220592
ABR,ENST00000302538
MYRIP,ENST00000302541
DDX24,ENST00000621632
FANCB,ENST00000650831
PHC2,ENST00000683057
TTC7A,ENST00000319190
NCAM1,ENST00000316851
ZXDC,ENST00000389709
HSPH1,ENST00000320027
KCNB1,ENST00000371741
USP5,ENST00000229268
AGO1,ENST00000373204
AGAP1,ENST00000304032
NOP14,ENST00000416614
TTK,ENST00000369798
HNRNPUL1,ENST00000392006
ATP6V0A2,ENST00000330342
SEPTIN3,ENST00000644076
NVL,ENST00000281701
VILL,ENST00000383759
PALD1,ENST00000263563
ZNF814,ENST00000435989
RHBDF1,ENST00000262316
DNAAF5,ENST00000297440
BICD2,ENST00000356884
DDR2,ENST00000367921
RADX,ENST00000372548
PRSS36,ENST00000268281
GSAP,ENST00000257626
AKAP4,ENST00000358526
VPS41,ENST00000310301
DISC1,ENST00000439617
PDE6B,ENST00000496514
ZNF341,ENST00000375200
ESPN,ENST00000645284
PARP8,ENST00000281631
SECISBP2,ENST00000375807
TGS1,ENST00000260129
AKAP3,ENST00000228850
DNMT3B,ENST00000328111
SHROOM1,ENST00000378679
ZSCAN29,ENST00000684362
MLXIPL,ENST00000313375
PIWIL4,ENST00000299001
CC2D1B,ENST00000284376
KIF18B,ENST00000593135
ZNF484,ENST00000375495
ZNF107,ENST00000620827
MACC1,ENST00000400331
LONP2,ENST00000285737
THSD1,ENST00000258613
TGFBR3,ENST00000212355
LPIN3,ENST00000373257
KANK2,ENST00000586659
STAT2,ENST00000314128
ESF1,ENST00000617257
NRG2,ENST00000361474
RASA2,ENST00000286364
PPP4R3B,ENST00000616407
PLA2G4F,ENST00000397272
DNAI4,ENST00000371026
NLGN3,ENST00000358741
SLCO5A1,ENST00000260126
AHR,ENST00000242057
ARPP21,ENST00000684406
CD22,ENST00000085219
MAP3K11,ENST00000309100
STAT6,ENST00000300134
FTSJ3,ENST00000427159
FSTL5,ENST00000306100
VAV3,ENST00000370056
MATR3,ENST00000394805
PYGL,ENST00000216392
FASTKD1,ENST00000453153
EXO1,ENST00000366548
JAKMIP3,ENST00000684848
CLOCK,ENST00000513440
MAP4K5,ENST00000682126
DLGAP5,ENST00000247191
RSBN1L,ENST00000334955
ARHGAP12,ENST00000344936
CDHR5,ENST00000397542
VAV1,ENST00000602142
ABCF1,ENST00000326195
PRMT9,ENST00000322396
SAMD11,ENST00000616016
PRICKLE2,ENST00000638394
TAF1C,ENST00000566732
C7,ENST00000313164
AXIN2,ENST00000307078
PTCHD4,ENST00000339488
RBM25,ENST00000261973
TTC27,ENST00000317907
SLMAP,ENST00000671191
UNC5A,ENST00000329542
ABCB6,ENST00000265316
OSBPL7,ENST00000007414
PYGM,ENST00000164139
JADE1,ENST00000226319
GRIPAP1,ENST00000376423
NYAP1,ENST00000300179
BACH2,ENST00000257749
TAS1R1,ENST00000333172
ARHGEF15,ENST00000361926
NEK4,ENST00000233027
ESCO1,ENST00000269214
CFAP221,ENST00000413369
ATP6V0A4,ENST00000310018
MCM8,ENST00000610722
MAP7D1,ENST00000474796
LZTR1,ENST00000646124
ATG9A,ENST00000361242
HSPA4L,ENST00000296464
TRPV1,ENST00000572705
ZKSCAN5,ENST00000326775
ZNF347,ENST00000334197
ZBBX,ENST00000675490
TLR4,ENST00000355622
VPS16,ENST00000380445
CAGE1,ENST00000502583
HELLS,ENST00000348459
RNF19A,ENST00000341084
FAM91A1,ENST00000334705
NTRK2,ENST00000277120
TACC3,ENST00000313288
OCA2,ENST00000354638
MOGS,ENST00000448666
SEMA4B,ENST00000411539
APBA1,ENST00000265381
ATP6V0A1,ENST00000343619
STRIP1,ENST00000369795
TFIP11,ENST00000407690
DNAAF2,ENST00000298292
PKP2,ENST00000340811
TELO2,ENST00000262319
ADAMTS4,ENST00000367996
CSF3R,ENST00000373106
AKNAD1,ENST00000370001
POSTN,ENST00000379747
ZNF546,ENST00000347077
TMTC2,ENST00000321196
CDCP1,ENST00000296129
NLGN4Y,ENST00000684976
TRIM28,ENST00000253024
BCL11A,ENST00000642384
ADGRE5,ENST00000242786
NLGN2,ENST00000302926
MCPH1,ENST00000344683
SLC9A3,ENST00000264938
PROM2,ENST00000317620
STRIP2,ENST00000249344
NEDD9,ENST00000379446
ACAP3,ENST00000354700
MSH5,ENST00000375750
JADE2,ENST00000681547
PPP4R3A,ENST00000554943
CCDC110,ENST00000307588
MAPT,ENST00000262410
VEPH1,ENST00000362010
ZNF780B,ENST00000434248
EFHB,ENST00000295824
VPS53,ENST00000437048
SIDT2,ENST00000324225
TMEM63B,ENST00000323267
CDH17,ENST00000027335
ADAM23,ENST00000264377
NKPD1,ENST00000686631
CDH26,ENST00000348616
CARS1,ENST00000380525
SLC39A10,ENST00000359634
JAKMIP1,ENST00000409021
SORT1,ENST00000256637
PRICKLE1,ENST00000345127
SELP,ENST00000263686
TCIRG1,ENST00000265686
SCARF1,ENST00000263071
WDR75,ENST00000314761
CDH16,ENST00000299752
CDH3,ENST00000264012
FYB1,ENST00000512982
PDE8A,ENST00000394553
COG5,ENST00000297135
BEND3,ENST00000369042
COG3,ENST00000349995
SGIP1,ENST00000371037
MYSM1,ENST00000472487
PPP1R13L,ENST00000360957
USP6NL,ENST00000609104
GPAM,ENST00000348367
SOX6,ENST00000683767
SIDT1,ENST00000264852
VIL1,ENST00000248444
RHBDF2,ENST00000675367
SMPD4,ENST00000680298
HIF1A,ENST00000337138
EVI5,ENST00000684568
KIFC3,ENST00000445690
ELAC2,ENST00000338034
FAM171A2,ENST00000293443
ELP2,ENST00000358232
IL4R,ENST00000395762
AMPD2,ENST00000528667
HNRNPU,ENST00000640218
PRDM1,ENST00000369096
BCAR3,ENST00000260502
ZNF229,ENST00000614049
IFT88,ENST00000351808
CDC27,ENST00000066544
ADAM8,ENST00000445355
DDX20,ENST00000369702
ADAM17,ENST00000310823
MALT1,ENST00000649217
ANKRD20A1,ENST00000562196
AREL1,ENST00000356357
USP16,ENST00000399976
ATMIN,ENST00000299575
ADGRE2,ENST00000315576
JADE3,ENST00000614628
FES,ENST00000328850
KDM1B,ENST00000650836
AP1G1,ENST00000299980
FAM193B,ENST00000514747
GTF3C4,ENST00000372146
IQCA1,ENST00000409907
EPS8,ENST00000281172
FER,ENST00000281092
FGFR1,ENST00000447712
CAPN3,ENST00000397163
CEP95,ENST00000556440
FGFR2,ENST00000358487
BRAT1,ENST00000340611
KANK3,ENST00000330915
MAP4K1,ENST00000396857
EFR3A,ENST00000254624
MAP4K2,ENST00000294066
DDX23,ENST00000308025
JAKMIP2,ENST00000616793
MYLK3,ENST00000394809
AOPEP,ENST00000375315
NUP93,ENST00000308159
PARP9,ENST00000682323
AVIL,ENST00000549994
ADAM9,ENST00000487273
IWS1,ENST00000295321
AFAP1L2,ENST00000304129
ARHGAP44,ENST00000379672
ARMC9,ENST00000611582
CLCN3,ENST00000513761
ZNF160,ENST00000683776
DLG3,ENST00000374360
EFR3B,ENST00000403714
TGM1,ENST00000206765
DCLK3,ENST00000636136
NLGN4X,ENST00000381095
PI4KB,ENST00000368873
TPCN1,ENST00000335509
NELL2,ENST00000429094
CLCN5,ENST00000376091
SLC9A1,ENST00000263980
RBM5,ENST00000347869
EML1,ENST00000262233
ATXN1,ENST00000436367
EIF3B,ENST00000360876
GPR156,ENST00000464295
USP45,ENST00000500704
CFAP20DC,ENST00000482387
AFAP1,ENST00000420658
KIF6,ENST00000287152
CAPN7,ENST00000253693
SNX29,ENST00000566228
EPC1,ENST00000319778
ADAM33,ENST00000356518
MAP6,ENST00000304771
NOP2,ENST00000322166
SYCP2L,ENST00000283141
LRRC41,ENST00000617190
RNF10,ENST00000325954
DEPDC1,ENST00000456315
ZNF33A,ENST00000432900
EXOC6B,ENST00000272427
FCHO2,ENST00000430046
UNK,ENST00000589666
LRRC8A,ENST00000372600
NELL1,ENST00000357134
ZC3H11A,ENST00000367210
PLG,ENST00000308192
ZNF43,ENST00000354959
PGBD1,ENST00000682144
CNGB3,ENST00000320005
PDE4D,ENST00000340635
PTPDC1,ENST00000620992
TBL3,ENST00000568546
SCYL1,ENST00000270176
ANAPC4,ENST00000315368
SLC45A4,ENST00000517878
MARCHF10,ENST00000311269
MCM3,ENST00000596288
CCPG1,ENST00000442196
ZNF711,ENST00000674551
AP5Z1,ENST00000649063
TMEM63A,ENST00000366835
EPC2,ENST00000258484
VCP,ENST00000358901
PLA2G6,ENST00000332509
NUTM2D,ENST00000381697
FGFR3,ENST00000440486
ZFX,ENST00000304543
CEP85L,ENST00000368491
PNISR,ENST00000369239
CLCN7,ENST00000382745
PKD2L1,ENST00000318222
TMC6,ENST00000590602
PIK3AP1,ENST00000339364
RASAL1,ENST00000548055
ACE2,ENST00000252519
TACC1,ENST00000317827
EVI5L,ENST00000538904
TSR1,ENST00000301364
EXOC6,ENST00000260762
SMYD4,ENST00000305513
LRRC8C,ENST00000370454
